Date,Open,High,Low,Close,Adj Close,Volume
2023-12-25,1095.000000,1150.000000,1016.000000,1055.000000,1055.000000,47800
2023-12-26,1064.000000,1105.000000,1054.000000,1069.000000,1069.000000,7200
2023-12-27,1060.000000,1079.000000,1036.000000,1048.000000,1048.000000,21200
2023-12-28,1051.000000,1090.000000,1051.000000,1080.000000,1080.000000,9300
2023-12-29,1066.000000,1118.000000,1066.000000,1118.000000,1118.000000,20700
2024-01-04,1125.000000,1179.000000,1090.000000,1107.000000,1107.000000,82600
2024-01-05,1106.000000,1119.000000,1102.000000,1110.000000,1110.000000,10500
2024-01-09,1120.000000,1120.000000,1100.000000,1103.000000,1103.000000,12300
2024-01-10,1103.000000,1103.000000,1081.000000,1087.000000,1087.000000,6900
2024-01-11,1094.000000,1094.000000,1080.000000,1091.000000,1091.000000,10500
2024-01-12,1091.000000,1094.000000,1080.000000,1094.000000,1094.000000,7800
2024-01-15,1093.000000,1094.000000,1084.000000,1092.000000,1092.000000,2600
2024-01-16,1088.000000,1088.000000,1081.000000,1081.000000,1081.000000,5300
2024-01-17,1083.000000,1089.000000,1081.000000,1083.000000,1083.000000,3600
2024-01-18,1081.000000,1087.000000,1080.000000,1081.000000,1081.000000,4300
2024-01-19,1087.000000,1090.000000,1081.000000,1083.000000,1083.000000,5200
2024-01-22,1083.000000,1097.000000,1064.000000,1064.000000,1064.000000,18800
2024-01-23,1070.000000,1070.000000,1048.000000,1050.000000,1050.000000,13000
2024-01-24,1048.000000,1055.000000,1043.000000,1050.000000,1050.000000,6100
2024-01-25,1048.000000,1050.000000,1035.000000,1036.000000,1036.000000,14600
2024-01-26,1036.000000,1037.000000,1025.000000,1030.000000,1030.000000,13800
2024-01-29,1035.000000,1036.000000,1029.000000,1030.000000,1030.000000,9100
2024-01-30,1036.000000,1045.000000,1031.000000,1045.000000,1045.000000,14000
2024-01-31,1037.000000,1045.000000,1028.000000,1028.000000,1028.000000,10400
2024-02-01,1029.000000,1037.000000,1029.000000,1037.000000,1037.000000,1900
2024-02-02,1043.000000,1057.000000,1041.000000,1050.000000,1050.000000,5100
2024-02-05,1150.000000,1150.000000,1099.000000,1114.000000,1114.000000,63000
2024-02-06,1116.000000,1122.000000,1099.000000,1100.000000,1100.000000,18600
2024-02-07,1083.000000,1108.000000,1081.000000,1081.000000,1081.000000,18500
2024-02-08,1081.000000,1081.000000,1051.000000,1051.000000,1051.000000,19800
2024-02-09,1060.000000,1067.000000,1058.000000,1060.000000,1060.000000,3900
2024-02-13,1061.000000,1110.000000,1054.000000,1096.000000,1096.000000,11800
2024-02-14,1094.000000,1119.000000,1087.000000,1110.000000,1110.000000,12200
2024-02-15,1102.000000,1105.000000,1057.000000,1059.000000,1059.000000,13500
2024-02-16,1058.000000,1090.000000,1056.000000,1063.000000,1063.000000,10700
