14810	Listed Index Fund Japanese Economy Contributor Stocks	0109	014	
14820	iShares Core 7-10 Year US Treasury Bond JPY Hedged ETF	0109	014	
14830	iShares JPX/S&P CAPEX & Human Capital ETF	0109	014	
14840	One ETF JPX/S&P CAPEX & Human Capital Index	0109	014	
14850	MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Index ETF	0109	014	
14860	Listed Index Fund US Bond (No Currency Hedge)	0109	014	
14870	Listed Index Fund US Bond (Currency Hedge)	0109	014	
14880	iFreeETF Tokyo Stock Exchange REIT Index	0109	014	
14890	NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund	0109	014	
148A0	HATCH WORK CO.,LTD.	0113	011	
14900	Listed Index Fund MSCI Japan Equity High Dividend Low Volatility (Beta Hedged)	0109	014	
14910	Chugai Mining Co.,Ltd.	0112	011	
14930	One ETF JPX-Nikkei Mid Small	0109	014	
14940	One ETF High Dividend Japan Equity	0109	014	
14950	Listed Index Fund Asian REIT	0109	014	
14960	iShares USD Investment Grade Corporate Bond JPY Hedged ETF	0109	014	
14970	iShares USD High Yield Corporate Bond JPY Hedged ETF	0109	014	
14980	One ETF ESG	0109	014	
14990	MAXIS Japan Equity High Dividend 70 Market Neutral ETF	0109	014	
149A0	Thinca Co.,Ltd.	0113	011	
150A0	JSH Co.,Ltd.	0113	011	
15140	Sumiseki Holdings,Inc.	0112	011	
15150	Nittetsu Mining Co.,Ltd.	0111	011	
15180	MITSUI MATSUSHIMA HOLDINGS CO.,LTD.	0111	011	
151A0	Dive Group Inc.	0113	011	
152A0	OPTY CO.,LTD.	0105	011	
153A0	Caulis Inc.	0113	011	
15400	Japan Physical Gold ETF	0109	014	
15410	Japan Physical Platinum ETF	0109	014	
15420	Japan Physical Silver ETF	0109	014	
15430	Japan Physical Palladium ETF	0109	014	
15450	NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund	0109	014	
15460	NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund	0109	014	
15470	Listed Index Fund US Equity (S&P500)	0109	014	
154A0	GAIA Inc.	0105	011	
15500	MAXIS Global Equity (MSCI Kokusai) ETF	0109	014	
15510	TSE Standard Top 20 ETF	0109	014	
15540	Listed Index Fund World Equity (MSCI ACWI) ex Japan	0109	014	
15550	Listed Index Fund Australian REIT (S&P/ASX200 A-REIT)	0109	014	
15570	State Street SPDR S&P 500 ETF Trust	0109	023	
15590	NEXT FUNDS Thai Stock SET50 Exchange Traded Fund	0109	014	
155A0	Information Strategy and Technology Co.,Ltd.	0113	011	
15600	NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund	0109	014	
15630	TSE Growth Core ETF	0109	014	
15660	Listed Index Fund Emerging Bond	0109	014	
15680	TOPIX Bull 2x ETF	0109	014	
15690	TOPIX Bear -1x ETF	0109	014	
156A0	Material Group Inc.	0113	011	
15700	NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund	0109	014	
15710	NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund	0109	014	
15720	China Bull 2x HSCEI ETF	0109	014	
15730	China Bear -1x HSCEI ETF	0109	014	
15770	NEXT FUNDS Nomura Japan Equity High Dividend 70 Exchange Traded Fund	0109	014	
15780	Listed Index Fund Nikkei 225 (Mini)	0109	014	
15790	Nikkei 225 Bull 2x ETF	0109	014	
157A0	Green Monster Inc.	0113	011	
